2023-04-02 09:43:13.287 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:43:15.637 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:43:16.782 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:43:17.922 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:43:18.847 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:44:04.521 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:44:10.981 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:44:12.214 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:44:13.254 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
2023-04-02 09:45:14.133 [ERR] O2 Exception CHECK_MEMBERUnexpected character encountered while parsing value: <. Path '', line 0, position 0.
